,Brand,Owner,kilometers,Fuel,Transmission,Model,Price
1327,2018 Hyundai Creta,1st Owner,"45,875 km",Diesel,Automatic,1.6 CRDI SX PLUS AUTO Automatic,"₹12,97,599"
1328,2018 Maruti Vitara Brezza,1st Owner,"82,601 km",Diesel,Manual,VDI Manual,"₹6,74,699"
1329,2018 Maruti Vitara Brezza,1st Owner,"71,192 km",Diesel,Manual,VDI OPT Manual,"₹6,91,399"
1330,2018 Maruti Vitara Brezza,1st Owner,"1,12,703 km",Diesel,Manual,VDI Manual,"₹6,88,899"
1331,2014 Hyundai Elite i20,1st Owner,"37,833 km",Diesel,Manual,MAGNA 1.4 CRDI Manual,"₹4,85,199"
1332,2014 Hyundai Elite i20,1st Owner,"82,377 km",Petrol,Manual,SPORTZ (O) 1.2 Manual,"₹4,93,599"
1333,2014 Toyota Innova,1st Owner,"82,096 km",Diesel,Manual,2.5 VX 8 STR BS IV Manual,"₹10,31,599"
1334,2020 Hyundai AURA,1st Owner,"1,441 km",Petrol,,E MT 1.2 KAPPA,"₹5,86,799"
1335,2014 Hyundai i20,1st Owner,"39,731 km",Petrol,Manual,MAGNA O 1.2 Manual,"₹4,14,199"
1336,2017 Hyundai Eon,2nd Owner,"13,373 km",Petrol,Manual,D LITE PLUS Manual,"₹2,76,199"
1337,2013 Toyota Fortuner,1st Owner,"1,54,297 km",Diesel,Automatic,3.0 AT 4X2 Automatic,"₹12,84,099"
1338,2018 Maruti Vitara Brezza,1st Owner,"32,860 km",Diesel,Manual,ZDI Manual,"₹7,91,599"
1339,2013 Mercedes Benz E Class,2nd Owner,"41,294 km",Diesel,Manual,E 250 CDI AVANTGARDE Manual,"₹16,12,199"
1340,2018 Ford Ecosport,1st Owner,"47,149 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹8,18,299"
1341,2015 Mahindra XUV500,2nd Owner,"1,14,885 km",Diesel,Manual,W10 Manual,"₹9,17,799"
1342,2018 Maruti Vitara Brezza,2nd Owner,"54,715 km",Diesel,Manual,VDI Manual,"₹7,25,099"
1343,2016 Honda Jazz,2nd Owner,"68,769 km",Petrol,Automatic,1.2 V AT Automatic,"₹5,40,699"
1344,2019 Maruti Vitara Brezza,1st Owner,"56,076 km",Diesel,Automatic,VDI AMT Automatic,"₹8,69,699"
1345,2019 Maruti New Wagon-R,1st Owner,"1,991 km",Petrol,,LXI 1.0 L,"₹5,43,299"
1346,2015 Maruti Swift,1st Owner,"37,925 km",Diesel,Manual,VDI ABS Manual,"₹4,08,699"
